test_cost,opt_cost,ls_cost
-0.11964000902182215,-0.12428827290521281,-0.11964000902182215
-0.09856918065051865,-0.10239847870594941,-0.09856918065051865
-0.0999623095786351,-0.10383389670076074,-0.0999623095786351
-0.1071743161310911,-0.10947880336642697,-0.1071743161310911
-0.10773636178997195,-0.11274992491557102,-0.10773636178997195
-0.16467279917797767,-0.16615395773414446,-0.16467279917797767
-0.09909780960714513,-0.1057900131751277,-0.09909780960714513
-0.14200110449928977,-0.1434869336681225,-0.14200110449928977
-0.2065473251695589,-0.20794377619232568,-0.2065473251695589
-0.13249442853048451,-0.13578940656838054,-0.13249442853048451
-0.0967365759730997,-0.10026791254348004,-0.0967365759730997
-0.0799813879100444,-0.08325488782569775,-0.0799813879100444
-0.09727905961402004,-0.10552738555118969,-0.09727905961402004
-0.11353400150161827,-0.11554343715333316,-0.11353400150161827
-0.08723131874628369,-0.09018021076915994,-0.08723131874628369
-0.2046494956604519,-0.20806484683591078,-0.2046494956604519
-0.15976255135611572,-0.16146947914457266,-0.15976255135611572
-0.12617116802947506,-0.13023268132882435,-0.12617116802947506
-0.1545053236301681,-0.157193316908993,-0.1545053236301681
-0.11896266834388353,-0.12232875243682799,-0.11896266834388353
-0.12674700729756447,-0.1281175855586925,-0.12674700729756447
-0.12313601239772248,-0.12611102064566015,-0.12313601239772248
-0.10849010865488692,-0.11183501749557628,-0.10849010865488692
-0.10047703614530909,-0.10321817456535876,-0.10047703614530909
-0.1618169191585839,-0.16586144741909675,-0.1618169191585839
-0.17656500395930683,-0.1780454533194329,-0.17656500395930683
-0.1517326574881181,-0.15323897007281184,-0.1517326574881181
-0.12721941191300815,-0.13115795431088886,-0.12721941191300815
-0.10026915701936472,-0.10380053594126001,-0.10026915701936472
-0.12790007714414453,-0.13073114175348613,-0.12790007714414453
-0.08672283355078181,-0.09127788640369874,-0.08672283355078181
-0.12937630741811676,-0.1326954510676747,-0.12937630741811676
-0.10453629478864059,-0.10767652066704564,-0.10453629478864059
-0.09993457836759095,-0.10339400037506034,-0.09993457836759095
-0.09577006567476468,-0.09810244273312067,-0.09577006567476468
-0.11498291312399253,-0.11697689488587582,-0.11498291312399253
-0.10055873901517678,-0.102249577345702,-0.10055873901517678
-0.13462679269802313,-0.13740740323739586,-0.13462679269802313
-0.11342167830286935,-0.11616728511605322,-0.11342167830286935
-0.13493060057143952,-0.1374500681332644,-0.13493060057143952
-0.10700588270239998,-0.11015228099499329,-0.10700588270239998
-0.15980941165159213,-0.16169984858910674,-0.15980941165159213
-0.1462483929275299,-0.14788783440540623,-0.1462483929275299
-0.08633248279211787,-0.09028590504267026,-0.08633248279211787
-0.08658352033961947,-0.0888522552517842,-0.08658352033961947
-0.12553645337442795,-0.12911641092725376,-0.12553645337442795
-0.11399444290674862,-0.11903448208145732,-0.11399444290674862
-0.12848707585659155,-0.13113260104598473,-0.12848707585659155
-0.09942266467078618,-0.10409453465798776,-0.09942266467078618
-0.18845525875930702,-0.19162185111413743,-0.18845525875930702
-0.11541497456456036,-0.11807212860818928,-0.11541497456456036
-0.09923797524153287,-0.10244282497545579,-0.09923797524153287
-0.13082393867475345,-0.1325014403106926,-0.13082393867475345
-0.1190553497766899,-0.1207053171701191,-0.1190553497766899
-0.10697545096214957,-0.1090172314321592,-0.10697545096214957
-0.14906426404713305,-0.15088943005202912,-0.14906426404713305
-0.11417056457272559,-0.11770388691513797,-0.11417056457272559
-0.1080634771286858,-0.11292249837759022,-0.1080634771286858
-0.17766713447945978,-0.17937305124886552,-0.17766713447945978
-0.0965399845811116,-0.10080074284565073,-0.0965399845811116
-0.09890767214025359,-0.102257191616414,-0.09890767214025359
-0.07988269380721803,-0.08229760737744746,-0.07988269380721803
-0.14804025923108557,-0.14930698611987403,-0.14804025923108557
-0.12710586009082608,-0.13463690339829051,-0.12710586009082608
-0.09060024553206569,-0.09328289829985893,-0.09060024553206569
-0.09372947673607666,-0.09647597259962351,-0.09372947673607666
-0.08726266877016917,-0.08957754738149071,-0.08726266877016917
-0.13663690015915578,-0.13865443157211305,-0.13663690015915578
-0.10888218896090063,-0.11264120033089167,-0.10888218896090063
-0.12255654726049986,-0.12694126859825297,-0.12255654726049986
-0.12046172424298268,-0.1239336664868301,-0.12046172424298268
-0.0887743424583049,-0.09141755672649166,-0.0887743424583049
-0.18056883054353678,-0.18171082198245836,-0.18056883054353678
-0.0815098563233791,-0.08645558600691504,-0.0815098563233791
-0.13029854906191757,-0.1320808495329145,-0.13029854906191757
-0.12758327134198458,-0.13165398041999532,-0.12758327134198458
-0.12169150421822422,-0.12488455811438098,-0.12169150421822422
-0.07828747594418824,-0.08057575285917547,-0.07828747594418824
-0.19091971810321914,-0.19225794921035907,-0.19091971810321914
-0.12105404195475901,-0.1236544418728854,-0.12105404195475901
-0.12551360105831919,-0.12868925909423287,-0.12551360105831919
-0.14977049702330203,-0.1508872526918133,-0.14977049702330203
-0.08421549518452796,-0.0875701753969047,-0.08421549518452796
-0.10155430247678263,-0.10954612182239652,-0.10155430247678263
-0.09681083808892381,-0.10217621112662599,-0.09681083808892381
-0.20509532773847564,-0.20651420953130695,-0.20509532773847564
-0.09104174839504181,-0.09297159500604105,-0.09104174839504181
-0.17594370997463027,-0.17793684811606816,-0.17594370997463027
-0.1880194514248581,-0.18960517682751263,-0.1880194514248581
-0.1137284577992925,-0.11813508777213308,-0.1137284577992925
-0.10225006938756422,-0.10479696117611549,-0.10225006938756422
-0.11651204832828461,-0.12060910440926724,-0.11651204832828461
-0.09910499804490111,-0.1016684393948006,-0.09910499804490111
-0.13036154496467886,-0.13504171229080753,-0.13036154496467886
-0.1001448828463,-0.10211124862258762,-0.1001448828463
-0.12736935743350114,-0.13206598331899216,-0.12736935743350114
-0.15826632149334852,-0.16128783375235917,-0.15826632149334852
-0.11190402626764727,-0.11534523281162029,-0.11190402626764727
-0.1240766998354268,-0.12656870105127127,-0.1240766998354268
-0.1663850586197847,-0.168132242326385,-0.1663850586197847
-0.14653684740782202,-0.15017460609572644,-0.14653684740782202
-0.11367877128274997,-0.11754806973491583,-0.11367877128274997
-0.12592977250977752,-0.12840430300349714,-0.12592977250977752
-0.11530508742256976,-0.12069707810380012,-0.11530508742256976
-0.13347563848977442,-0.13529715648995916,-0.13347563848977442
-0.10695808282422346,-0.11256888615419726,-0.10695808282422346
-0.09945969621621299,-0.1027703798916896,-0.09945969621621299
-0.17183925706326938,-0.17384903674603394,-0.17183925706326938
-0.17014410582736508,-0.17282235595047873,-0.17014410582736508
-0.10835716201540085,-0.1128932654996163,-0.10835716201540085
-0.0992026878993804,-0.10183843623564813,-0.0992026878993804
-0.08311387886185363,-0.08596780125410283,-0.08311387886185363
-0.09791852694697076,-0.10169065535261806,-0.09791852694697076
-0.09290540001493493,-0.09487215605682346,-0.09290540001493493
-0.11825541623497646,-0.12079138378577237,-0.11825541623497646
-0.12995891272771665,-0.13268716946468004,-0.12995891272771665
-0.12585005103863892,-0.12791760343957223,-0.12585005103863892
-0.14541426556306142,-0.1478971963440182,-0.14541426556306142
-0.11513723940795953,-0.11750227312936704,-0.11513723940795953
-0.09826903378215682,-0.10168303157563216,-0.09826903378215682
-0.10607638004267653,-0.10877931013650076,-0.10607638004267653
-0.10084497606093895,-0.10501930349434527,-0.10084497606093895
-0.13017657212230538,-0.13280408128875942,-0.13017657212230538
-0.15336535048479,-0.15518380655147584,-0.15336535048479
-0.1689303648469959,-0.17193021815376097,-0.1689303648469959
-0.11956043880646196,-0.12083289496469926,-0.11956043880646196
-0.11482456308044324,-0.11803770141054949,-0.11482456308044324
-0.11862443836838368,-0.12159003469530631,-0.11862443836838368
-0.1903604584183763,-0.19335725694750225,-0.1903604584183763
-0.13962104198545822,-0.1418856822140037,-0.13962104198545822
-0.10706115435661752,-0.10951158910151308,-0.10706115435661752
-0.15110904565738748,-0.1538138214497589,-0.15110904565738748
-0.13863005544050694,-0.14436106371270643,-0.13863005544050694
-0.11520365997681145,-0.11785687343908269,-0.11520365997681145
-0.10441439717132132,-0.10843729519606667,-0.10441439717132132
-0.14508775411232233,-0.14746099134790813,-0.14508775411232233
-0.11163450530970143,-0.11330063001401429,-0.11163450530970143
-0.09889121945958275,-0.10250117419707144,-0.09889121945958275
-0.14707144941142644,-0.14930226171150057,-0.14707144941142644
-0.1527929678538731,-0.15535357303453787,-0.1527929678538731
-0.23987088762474965,-0.24077290511140523,-0.23987088762474965
-0.12073978313718779,-0.12437284514881865,-0.12073978313718779
-0.13366858794950282,-0.13585415387167654,-0.13366858794950282
-0.13806250025759456,-0.13920854207714617,-0.13806250025759456
-0.10420180732551636,-0.10735127472198962,-0.10420180732551636
-0.07909221134806389,-0.08289674268633324,-0.07909221134806389
-0.12566936007981228,-0.12939097310874964,-0.12566936007981228
-0.11057676861226973,-0.1139836485566576,-0.11057676861226973
-0.11027229155368125,-0.11587538099379478,-0.11027229155368125
-0.17329375745557052,-0.1763366199069552,-0.17329375745557052
-0.10175228807819171,-0.10490131939446679,-0.10175228807819171
-0.17240516202354025,-0.1743714723236717,-0.17240516202354025
-0.08525246119052789,-0.08820664655818783,-0.08525246119052789
-0.09076083896411573,-0.0959077074338749,-0.09076083896411573
-0.12902792633384683,-0.13094082152024494,-0.12902792633384683
-0.0913600374679177,-0.0949047811328808,-0.0913600374679177
-0.10864202794038395,-0.11196455158006394,-0.10864202794038395
-0.12468482035430317,-0.1269450214466584,-0.12468482035430317
-0.0990468106555866,-0.10390282980264111,-0.0990468106555866
-0.09245399779087164,-0.0966861176550604,-0.09245399779087164
-0.13786143473334858,-0.1407708512562164,-0.13786143473334858
-0.15892571103712572,-0.16041911351942403,-0.15892571103712572
-0.09521943732268104,-0.09897211810790983,-0.09521943732268104
-0.11116302237785161,-0.11839524614462857,-0.11116302237785161
-0.21343157445718303,-0.21589409616884517,-0.21343157445718303
-0.13821274740763217,-0.13986419871013112,-0.13821274740763217
-0.14091421825324582,-0.14244883997008706,-0.14091421825324582
-0.13675615006811764,-0.13883442247586159,-0.13675615006811764
-0.13481347208304184,-0.13946625182176092,-0.13481347208304184
-0.12600561674802244,-0.12899538105627445,-0.12600561674802244
-0.09706139824770399,-0.09972716210004386,-0.09706139824770399
-0.10666423470365789,-0.11169206961165527,-0.10666423470365789
-0.1080118119234182,-0.1105197020934084,-0.1080118119234182
-0.11429156277624648,-0.11845665124231475,-0.11429156277624648
-0.14182532424774177,-0.1429126626209434,-0.14182532424774177
-0.09487476676128564,-0.09668526420881801,-0.09487476676128564
-0.09996934711978242,-0.10366526051894578,-0.09996934711978242
-0.14477366897293742,-0.14719367071068043,-0.14477366897293742
-0.11531229811583239,-0.11738124679933475,-0.11531229811583239
-0.10418851281036258,-0.10688184413130462,-0.10418851281036258
-0.13247052033303827,-0.13562690292719784,-0.13247052033303827
-0.09936541604366571,-0.10155443213556029,-0.09936541604366571
-0.12854898929323624,-0.13096728793934584,-0.12854898929323624
-0.0874230649110266,-0.09161528425270524,-0.0874230649110266
-0.14294285206537646,-0.14739131681211756,-0.14294285206537646
-0.11366283916613344,-0.11751980425146245,-0.11366283916613344
-0.10184161526656817,-0.10551899521649673,-0.10184161526656817
-0.1827970926549151,-0.18574608527723283,-0.1827970926549151
-0.11225811564225559,-0.11984449505149374,-0.11225811564225559
-0.10122058747568935,-0.10287801906587156,-0.10122058747568935
-0.13807029841481136,-0.1404597926688575,-0.13807029841481136
-0.10635864882803829,-0.1091323562346779,-0.10635864882803829
-0.09961706572837452,-0.1024770473031228,-0.09961706572837452
-0.10254482600643476,-0.10390342750745381,-0.10254482600643476
-0.14620543460481758,-0.1482356219876258,-0.14620543460481758
-0.0874627089237357,-0.09067141873087534,-0.0874627089237357
-0.12164391707498058,-0.12396506046044639,-0.12164391707498058
-0.17520779023612973,-0.17729191102501185,-0.17520779023612973
-0.2035424837881672,-0.20517159230184157,-0.2035424837881672
-0.16253309330805638,-0.16432221341449318,-0.16253309330805638
